,0,1
111,"('R4291;R1538', 'R1993', 'R3896')",3.398910317902704e-05
112,"('R4291;R1538', 'R1993', 'R3664')",1.5166275293423532e-06
113,"('R4291;R1538', 'R2264', 'R3896')",1.4213363775120067e-05
114,"('R4291;R1538', 'R2752', 'R3392')",3.637625850946322e-05
115,"('R4291;R1538', 'R3392', 'R2752')",2.167743823138881e-05
116,"('R4291;R1538', 'R1993', 'R1532')",1.245125494021631e-05
117,"('R4291;R1538', 'R2264', 'R3664')",1.5854364241197998e-06
118,"('R4291;R1538', 'R3664', 'R2264')",3.686403168659651e-06
119,"('R4291;R1538', 'R3195', 'R2313')",0.0008470025870888466
120,"('R4291;R1538', 'R1532', 'R1993')",1.2350227608546392e-05
121,"('R4291;R1538', 'R2313', 'R3195')",0.0006948519673596098
122,"('R4291;R1538', 'R1993', 'R3490')",1.3536673481111748e-05
123,"('R4291;R1538', 'R1620', 'R3457')",0.08197862834314244
124,"('R4291;R1538', 'R2264', 'R2547')",2.1052388539559888e-05
125,"('R4291;R1538', 'R3254', 'R3457')",0.09745535407034223
126,"('R4291;R1538', 'R3457', 'R1620')",0.0016964303458778572
127,"('R4291;R1538', 'R1993', 'R3715')",6.564309511391729e-06
128,"('R4291;R1538', 'R3457', 'R1940')",0.0016964303458778538
129,"('R4291;R1538', 'R3457', 'R2197')",0.0016964303458778555
130,"('R4291;R1538', 'R1993', 'R3164')",6.352085125539366e-05
131,"('R4291;R1538', 'R1555', 'R2428')",0.0016964303458778729
132,"('R4291;R1538', 'R1940', 'R3457')",0.08197862834314265
133,"('R4291;R1538', 'R2264', 'R3164')",1.87185627981982e-05
134,"('R4291;R1538', 'R3457', 'R3254')",0.014418372774631722
135,"('R4291;R1538', 'R3954', 'R2428')",0.0016964303458778746
136,"('R4291;R1538', 'R3748', 'R2428')",0.0015586207172680966
137,"('R4291;R1538', 'R2264', 'R3392')",1.2528629164285618e-05
138,"('R4291;R1538', 'R3392', 'R2264')",9.68901227831476e-06
139,"('R4291;R1538', 'R3490', 'R1993')",2.2296097992879285e-05
140,"('R4291;R1538', 'R2547', 'R2264')",1.4933846591019036e-05
141,"('R4291;R1538', 'R1993', 'R1362')",6.352085125539366e-05
142,"('R4291;R1538', 'R1362', 'R1993')",1.8718562798198215e-05
143,"('R4291;R1538', 'R3715', 'R1993')",4.6701529728763146e-05
144,"('R4291;R1538', 'R1362', 'R2264')",6.352085125539366e-05
145,"('R4291;R1538', 'R3164', 'R2264')",6.352085125539369e-05
146,"('R4291;R1538', 'R2428', 'R1555')",0.08197862834314291
147,"('R4291;R1538', 'R2428', 'R3954')",0.08197862834314319
148,"('R4291;R1538', 'R3906', 'R2428')",0.0016964303458778703
149,"('R4291;R1538', 'R3164', 'R1993')",1.8718562798198215e-05
150,"('R4291;R1538', 'R2428', 'R3906')",0.08197862834314301
151,"('R4291;R1538', 'R2264', 'R1362')",1.8718562798198208e-05
152,"('R4291;R1538', 'R2428', 'R3748')",0.08474585556509241
153,"('R4291;R1538', 'R2197', 'R3457')",0.08197862834314279
154,"('R4291;R1538', 'R3372', 'R2264')",1.448976987035104e-05
155,"('R4291;R1538', 'R4114', 'R4063')",4.593421596959714e-06
156,"('R4291;R1538', 'R2428', 'R1993')",4.672103009836846e-05
157,"('R4291;R1538', 'R3457', 'R2264')",2.5864340869800378e-05
158,"('R4291;R1538', 'R2264', 'R3457')",1.2534775868343275e-05
159,"('R4291;R1538', 'R2264', 'R3372')",1.7607631602567477e-05
160,"('R4291;R1538', 'R3403', 'R1993')",1.8115391622605864e-05
161,"('R4291;R1538', 'R3715', 'R4130')",706.2911650718831
162,"('R4291;R1538', 'R1993', 'R2428')",1.2090208851722159e-05
163,"('R4291;R1538', 'R4063', 'R4114')",732.288370374759
164,"('R4291;R1538', 'R1993', 'R3403')",1.2551535655622077e-05
165,"('R4291;R1538', 'R1993', 'R4130')",3.136447212869635e-05
